ticker,first_seen_date,last_seen_date,seen_count,last_labels,last_filing_url
AWX,2025-09-24,2025-09-24,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/1061069/0001437749-25-029797.txt
AXR,2025-09-09,2025-09-09,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/6207/0001104659-25-088643.txt
AYTU,2026-02-03,2026-02-03,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/1385818/0001437749-26-002799.txt
BAFN,2025-09-30,2025-09-30,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1649739/0001649739-25-000243.txt
BATL,2025-11-13,2025-11-13,2,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1282648/0001104659-25-111416.txt
BBGI,2025-11-10,2025-11-10,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/1099160/0001193125-25-273399.txt
BCDA,2025-10-24,2025-10-24,8,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/925741/0001437749-25-031727.txt
BDL,2025-08-28,2025-08-28,1,dilution_bank,https://www.sec.gov/Archives/edgar/data/12040/0002077096-25-000085.txt
BDSX,2025-11-03,2025-11-03,3,pipe_financing,https://www.sec.gov/Archives/edgar/data/1439725/0001193125-25-262508.txt
BELFB,2026-01-15,2026-02-17,7,dilution_bank,https://www.sec.gov/Archives/edgar/data/729580/0001437749-26-004366.txt
BFC,2026-01-22,2026-01-22,5,dilution_bank,https://www.sec.gov/Archives/edgar/data/1746109/0001104659-26-005776.txt
BGLC,2025-12-02,2025-12-02,5,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1737523/0001477932-25-008724.txt
BH,2026-01-16,2026-01-16,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1726173/0001628280-26-002375.txt
BHM,2026-02-17,2026-02-17,4,dilution_bank,https://www.sec.gov/Archives/edgar/data/1903382/0001104659-26-016316.txt
BIYA,2026-02-03,2026-02-03,3,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1944712/0001213900-26-011517.txt
BJDX,2026-01-30,2026-02-20,28,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1704287/0001213900-26-018638.txt
BKTI,2025-11-06,2025-11-06,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/2186/0001437749-25-033454.txt
